ID,Gene_name
X7904016,
X7904018, CTTNBP2NL 
X7904025, WNT2B 
X7904036, CAPZA1 
X7904048,
X7904050, MOV10 
X7904073, FAM19A3 
X7904082, NUTF2P4 
X7904084, AKR7A2P1 
X7904086, LRIG2 
X7904106, MAGI3 
X7904131, DCLRE1B 
X7904137, HIPK1 
X7904158, OLFML3 
X7904164,
X7904166,
X7904168, SYCP1 
X7904203, TSHB 
X7904209, RN7SL420P 
X7904211, VANGL1 
X7904226, SLC22A15 
X7904244, MAB21L3 
X7904252,
X7904254, ATP1A1 
X7904281, C1orf137 
X7904287, CD2 
X7904293, PTGFRN 
X7904303, CD101 
X7904314, TTF2 
X7904340, MAN1A2 
X7904361, FAM46C 
X7904364, WDR3 
X7904394,
X7904396, HAO2 
X7904408, HSD3B2 
X7904414,
X7904417, HSD3BP1 
X7904421, HSD3B1 
X7904429, HSD3BP4 
X7904431, HSD3BP5 
X7904433, PHGDH 
X7904448, PFN1P9 
X7904450, RNU6-1071P 
X7904452, FAM72B 
X7904463, HIST2H3DP1 
X7904465, HIST2H2BA 
X7904469, SRGAP2C 
X7904478, LINC00328 
X7904480, RNVU1-3 
X7904482, SRGAP2 
X7904486, NBPF10 
X7904500, NBPF8 
X7904506, NBPF10 
X7904562, NBPF8 
X7904569, NBPF9 
X7904572, RNU1-59P 
X7904574, NBPF8 
X7904691,
X7904693,
X7904695, LOC100996517 
X7904702, NOTCH2NL 
X7904713,
X7904715, RNVU1-6 
X7904717, HFE2 
X7904726, TXNIP 
X7904737, ANKRD34A 
X7904742, LIX1L 
X7904751, RBM8A 
X7904755, PEX11B 
X7904761, ITGA10 
X7904796, ANKRD35 
X7904812, PIAS3 
X7904830, RNF115 
X7904843, PDZK1 
X7904853, GPR89A 
X7904863,
X7904865,
X7904867,
X7904869, ABHD17A 
X7904872, RNA5SP57 
X7904874, NBPF9 
X7904877,
X7904879, RNVU1-8 
X7904881, PDIA3 
X7904883, CHD1L 
X7904907, BCL9 
X7904921,
X7904923,
X7904927, GJA8 
X7904930, GPR89A 
X7904946,
X7904948, ABHD17A 
X7904951, RNA5SP57 
X7904953, RNU1-120P 
X7904955,
X7904959,
X7904963, RNVU1-3 
X7904965, PDE4DIP 
X7904967, RNVU1-19 
X7904969, VOPP1 
X7904974, PFN1P2 
X7904976, NBPF8 
X7904997, PPIAL4G 
X7904999, NBPF8 
X7905016, PPIAL4G 
X7905018, FLJ37786 
X7905020, LOC101060524 
X7905025, DRD5 
X7905028, LOC654342 
X7905033,
X7905035,
X7905037,
X7905039,
X7905043, FAM231A 
X7905047, FCGR1A 
X7905051, PPIAL4B 
X7905054, RNVU1-4 
X7905058, FAM231A 
